last word,count,mean,min,max,std,median,maxdiff,mindiff
YSGOL,52,268012.03846153844,73500.0,585000.0,104493.67533069235,247497.5,337502.5,173997.5
YARD,649,438081.31587057014,5000.0,8600000.0,612332.5676819395,314159.0,8285841.0,309159.0
WYND,125,276421.296,25000.0,3600000.0,326951.3784695355,220000.0,3380000.0,195000.0
WOODSIDE,112,406506.41071428574,55000.0,2300000.0,344619.26086153206,339975.0,1960025.0,284975.0
WOODS,84,531006.0476190476,4000.0,6500000.0,745149.063360858,342500.0,6157500.0,338500.0
WOODLANDS,211,404986.30805687205,15000.0,2300000.0,301335.194423601,325985.0,1974015.0,310985.0
WOOD,510,536741.4176470588,2000.0,29340000.0,1352254.8792794435,358725.0,28981275.0,356725.0
WILLOWS,126,313897.14285714284,10500.0,1125000.0,177767.30677087797,257500.0,867500.0,247000.0
WHARF,504,414729.7123015873,45000.0,19980000.0,1193361.6477148533,250000.0,19730000.0,205000.0
WESTWAY,54,340551.85185185185,57500.0,2900000.0,426897.7464685217,217000.0,2683000.0,159500.0
WESTGATE,139,465956.29496402876,25000.0,22250000.0,1882128.0074463296,225000.0,22025000.0,200000.0
WESTFIELD,71,331048.1830985916,4000.0,2486008.0,337143.8179530811,230000.0,2256008.0,226000.0
WEST,1639,452825.85051860893,1428.0,46631315.0,1719910.6823152862,240000.0,46391315.0,238572.0
WEN,53,232329.5849056604,9000.0,950000.0,140383.73073903186,215000.0,735000.0,206000.0
WAY,40974,385418.18728950067,120.0,120000000.0,957577.5312232554,305000.0,119695000.0,304880.0
WATERSIDE,119,325105.61344537814,42000.0,2650000.0,274045.2699791914,262000.0,2388000.0,220000.0
WARREN,61,669448.6885245901,61000.0,3872500.0,808317.3556535526,420000.0,3452500.0,359000.0
WALL,318,840005.6823899371,142500.0,11590000.0,832504.0318133098,752250.0,10837750.0,609750.0
WALKS,55,285482.2181818182,65250.0,1225000.0,205740.64689021316,230000.0,995000.0,164750.0
WALK,8149,371155.295250951,609.0,8800000.0,399660.74633839907,280000.0,8520000.0,279391.0
VILLAS,961,508561.5920915713,250.0,21280000.0,1078902.6553643877,300000.0,20980000.0,299750.0
VILLAGE,418,353749.980861244,3000.0,4120800.0,375018.75366611325,270000.0,3850800.0,267000.0
VIEW,6255,292174.12709832133,350.0,22391176.0,341125.6107225451,250000.0,22141176.0,249650.0
VALLEY,116,405880.775862069,52000.0,1900000.0,288260.01071397134,330000.0,1570000.0,278000.0
VALE,919,455447.6224156692,5000.0,26100000.0,1006403.6489137475,315000.0,25785000.0,310000.0
UPLANDS,62,504670.8064516129,70000.0,3500000.0,671939.3948234711,319000.0,3181000.0,249000.0
TREES,56,426609.8214285714,88750.0,3275000.0,437402.8722751064,337950.0,2937050.0,249200.0
TOWN,69,690844.2028985508,12500.0,4100000.0,804152.2108414511,412500.0,3687500.0,400000.0
TOP,79,508434.6835443038,180.0,11490000.0,1330796.062594689,223500.0,11266500.0,223320.0
TERRACE,9213,291763.20992076414,500.0,18250000.0,689474.5546394286,170000.0,18080000.0,169500.0
SUNNYSIDE,71,294781.04225352115,75000.0,1650000.0,209362.73623269502,262000.0,1388000.0,187000.0
STREET,81224,354247.9363857973,112.0,164300000.0,1821105.8061016474,180000.0,164120000.0,179888.0
STRAND,151,348822.67549668875,30000.0,3715000.0,423209.4319116018,257535.0,3457465.0,227535.0
SQUARE,3947,726376.1076767165,500.0,74900000.0,2523606.144060654,320000.0,74580000.0,319500.0
SPRINGS,62,307506.4516129032,68500.0,1303400.0,240240.5149837587,252500.0,1050900.0,184000.0
SPRINGFIELDS,61,296711.47540983604,41500.0,1100000.0,197833.66253695774,254000.0,846000.0,212500.0
SPINNEY,196,413250.82653061225,50000.0,2250000.0,322545.3717308232,315000.0,1935000.0,265000.0
SOUTH,1350,467253.98296296294,10000.0,55760250.0,1827446.0068860452,250000.0,55510250.0,240000.0
SIDINGS,79,282365.06329113926,75000.0,1245000.0,193403.39084758074,250000.0,995000.0,175000.0
SIDE,286,435727.2062937063,9075.0,5500000.0,540622.5879245795,310000.0,5190000.0,300925.0
ROW,1787,400514.55512031337,3000.0,13000000.0,822557.3521390521,249995.0,12750005.0,246995.0
ROAD,249840,412385.2096501761,110.0,130948950.0,1012163.6855427553,293000.0,130655950.0,292890.0
RIVERSIDE,119,447906.02521008404,68500.0,6975000.0,703482.5500676878,270000.0,6705000.0,201500.0
RISE,4396,381883.18175614194,530.0,35750000.0,640025.4899616105,305000.0,35445000.0,304470.0
RIDINGS,152,495352.0657894737,19536.0,4200000.0,527793.6862965608,355000.0,3845000.0,335464.0
RIDGEWAY,336,762479.8452380953,23000.0,35000000.0,2237986.577951606,351750.0,34648250.0,328750.0
RIDGE,285,516411.65614035085,6000.0,6480000.0,632920.7090317011,345000.0,6135000.0,339000.0
RIDE,228,625503.3333333334,1000.0,8384386.0,727414.6584662682,477500.0,7906886.0,476500.0
REACH,149,458670.067114094,45000.0,2650000.0,410439.7564844761,345000.0,2305000.0,300000.0
QUEENSWAY,341,496000.63343108504,4439.0,16600000.0,1550153.916466978,225000.0,16375000.0,220561.0
QUAYS,108,379144.0740740741,12000.0,7600000.0,906657.5679809726,215000.0,7385000.0,203000.0
QUAY,458,360620.75327510916,10000.0,5000000.0,393424.05277046724,243562.5,4756437.5,233562.5
PROMENADE,257,307528.6186770428,27600.0,4990033.0,527691.6872193911,192000.0,4798033.0,164400.0
PORTWAY,79,303180.0759493671,34000.0,750000.0,141082.39849216433,280000.0,470000.0,246000.0
POPLARS,85,407414.4705882353,65250.0,1041634.0,233937.58385424438,349995.0,691639.0,284745.0
POINT,59,727272.033898305,70000.0,14550000.0,1960933.8167204573,275000.0,14275000.0,205000.0
PLEASANT,229,326114.8384279476,59000.0,3835717.0,327906.38040895027,245000.0,3590717.0,186000.0
PLAZA,65,668861.5230769231,80000.0,7800000.0,1265649.084903981,427000.0,7373000.0,347000.0
PLACE,13037,465508.92897138913,540.0,74933000.0,1433304.387809066,275000.0,74658000.0,274460.0
PINES,67,314887.98507462686,25000.0,1050000.0,216208.442647402,295000.0,755000.0,270000.0
PIKE,58,416672.2931034483,130540.0,629950.0,97692.55974507045,419950.0,210000.0,289410.0
PIECE,130,406799.1923076923,100000.0,5000000.0,436286.5929917427,344000.0,4656000.0,244000.0
PATH,317,403408.1577287066,15000.0,2500000.0,290779.85119644983,350000.0,2150000.0,335000.0
PASTURES,208,337700.3221153846,81000.0,1335000.0,180906.59885448802,280000.0,1055000.0,199000.0
PASTURE,74,292656.75675675675,90000.0,1600000.0,199628.539920977,236500.0,1363500.0,146500.0
PASSAGE,119,531746.1092436975,47500.0,6150000.0,760590.7251210286,385000.0,5765000.0,337500.0
PARKWAY,235,580100.885106383,47000.0,12200000.0,1466768.0191088659,256000.0,11944000.0,209000.0
PARKSIDE,181,478462.8674033149,8000.0,8550000.0,674427.4205609477,445000.0,8105000.0,437000.0
PARKLANDS,135,317384.93333333335,57000.0,1150000.0,190767.49623247917,283000.0,867000.0,226000.0
PARK,6746,515957.93018084794,600.0,46100000.0,1362502.2885949095,310000.0,45790000.0,309400.0
PARC,175,282647.78285714285,12000.0,1779882.0,174598.27177236066,260000.0,1519882.0,248000.0
PARADE,1384,334079.2926300578,500.0,4500000.0,385981.05288154725,248000.0,4252000.0,247500.0
PADDOCKS,162,442116.04938271607,75000.0,1700000.0,271575.53000699717,365000.0,1335000.0,290000.0
PADDOCK,264,410655.4128787879,20000.0,2650000.0,269767.5326545238,358750.0,2291250.0,338750.0
OVAL,219,268008.1506849315,30677.0,1400000.0,173952.047445224,230000.0,1170000.0,199323.0
OTHER,40628,364967.80890026584,112.0,115000000.0,1076631.9989912086,273062.5,114726937.5,272950.5
ORCHARDS,50,385218.0,80000.0,960000.0,211818.9749261749,299250.0,660750.0,219250.0
ORCHARD,566,396700.11307420494,13000.0,2600000.0,239949.969398928,350625.0,2249375.0,337625.0
OAKS,153,353062.7450980392,61000.0,1387500.0,200970.16107475964,302500.0,1085000.0,241500.0
OAKLANDS,101,296757.9207920792,80000.0,1350000.0,214813.79805923474,235000.0,1115000.0,155000.0
OAK,73,369115.0684931507,123400.0,865000.0,161444.3836307043,355000.0,510000.0,231600.0
NORTHWAY,58,442868.9655172414,12100.0,4150000.0,688081.6366312114,244000.0,3906000.0,231900.0
NORTHGATE,119,280435.80672268907,290.0,2916963.0,349824.049960138,209500.0,2707463.0,209210.0
NORTH,1334,411561.2083958021,450.0,31800000.0,1046156.0154645635,250000.0,31550000.0,249550.0
NOOK,93,304286.98924731184,55000.0,725000.0,143913.7515450543,285000.0,440000.0,230000.0
NEWTOWN,61,379125.08196721313,75000.0,1475000.0,264145.27096923353,307500.0,1167500.0,232500.0
NANT,77,263110.3896103896,6000.0,887500.0,132589.48377011335,250000.0,637500.0,244000.0
MOUNT,904,283170.87831858406,2000.0,3350000.0,261517.81859870927,219500.0,3130500.0,217500.0
MOR,61,257177.868852459,99950.0,795000.0,141658.81415234698,225000.0,570000.0,125050.0
MOORINGS,60,255124.86666666667,33007.0,680000.0,138390.71887948964,241250.0,438750.0,208243.0
MOOR,140,315194.21428571426,40000.0,1100000.0,186858.70122026306,260000.0,840000.0,220000.0
MINORIES,82,1002538.8414634146,52000.0,3124000.0,440756.31477312034,853125.0,2270875.0,801125.0
MILLS,77,310293.55844155845,4725.0,1200000.0,222023.83554981166,250000.0,950000.0,245275.0
MILLFIELD,78,446083.3333333333,110000.0,8500000.0,942076.4969376166,296000.0,8204000.0,186000.0
MILL,155,336707.6451612903,5100.0,1575000.0,261503.41275696974,267500.0,1307500.0,262400.0
MEWS,4620,449017.2352813853,1700.0,90000000.0,1559274.3644406009,291750.0,89708250.0,290050.0
MEADWAY,160,479837.55625,5000.0,2800000.0,413395.8196581723,400000.0,2400000.0,395000.0
MEADS,55,525272.7272727273,95000.0,1500000.0,350009.2435046831,500000.0,1000000.0,405000.0
MEADOWSIDE,68,340779.4117647059,115000.0,1150000.0,165133.71746686054,320000.0,830000.0,205000.0
MEADOWS,1048,375451.0610687023,30000.0,13200000.0,650502.1401815548,299950.0,12900050.0,269950.0
MEADOW,1854,365927.7578209277,1040.0,5490000.0,230455.1588388765,325000.0,5165000.0,323960.0
MEAD,1170,404188.45213675214,4000.0,7900000.0,294289.4442311109,365000.0,7535000.0,361000.0
MARINA,60,472855.9,700.0,11423940.0,1449465.95037411,231500.0,11192440.0,230800.0
MAPLES,56,262847.3214285714,112500.0,1200000.0,192087.417462051,211000.0,989000.0,98500.0
MANOR,144,564526.375,45000.0,26300110.0,2177730.504523741,325000.0,25975110.0,280000.0
MALTINGS,161,257357.21118012423,26000.0,945000.0,161938.5377198094,216600.0,728400.0,190600.0
MALL,65,3959099.769230769,4500.0,129706651.0,16909776.88049385,405000.0,129301651.0,400500.0
LODGE,135,266639.97037037037,55000.0,1050000.0,202622.47061973135,210000.0,840000.0,155000.0
LLAN,61,237147.52459016393,87000.0,410000.0,74832.08140310024,220000.0,190000.0,133000.0
LINKS,74,312736.2702702703,125000.0,964250.0,175252.66889737223,270375.0,693875.0,145375.0
LINK,125,361777.176,96250.0,2000000.0,199743.59450907118,347950.0,1652050.0,251700.0
LIMES,88,365630.6931818182,100000.0,1175000.0,206189.7990692438,320000.0,855000.0,220000.0
LEYS,201,360126.12935323385,85000.0,2400000.0,233569.6357976849,320000.0,2080000.0,235000.0
LEAZE,123,311646.0243902439,2000.0,750000.0,159224.19880163943,290000.0,460000.0,288000.0
LEAS,67,383265.50746268657,106000.0,1175000.0,210902.59421974252,325000.0,850000.0,219000.0
LEA,384,344666.0677083333,1950.0,14750000.0,792059.2993163317,256747.5,14493252.5,254797.5
LAWNS,112,333695.22321428574,72000.0,1159500.0,191785.78866291902,285000.0,874500.0,213000.0
LAWN,119,308335.82352941175,70000.0,1115000.0,174049.3048314645,285000.0,830000.0,215000.0
LAURELS,67,311486.49253731343,55000.0,1170000.0,197319.79553279045,240000.0,930000.0,185000.0
LANES,119,475201.6806722689,1000.0,5268000.0,529058.1796902409,427500.0,4840500.0,426500.0
LANE,47452,451617.8133903734,150.0,93836616.0,964425.0024859192,320000.0,93516616.0,319850.0
